epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1031.72,3.11468,8.59437,0.47075,0.69474,0.11289,0.09541,0.06133,3.79125,6.98984,0.47652,0.00813166,0.00813166,0.00813166
2,1982.15,3.21568,7.69664,0.46671,0.7224,0.11148,0.11754,0.07299,3.75745,6.48616,0.47452,0.00990029,0.00990029,0.00990029
3,2888.25,3.12844,6.74193,0.46094,0.5859,0.18242,0.13867,0.0809,3.79968,6.3254,0.48379,0.00980058,0.00980058,0.00980058
4,3794.34,3.10492,6.25838,0.45789,0.40161,0.2173,0.17343,0.10577,3.70518,6.27341,0.47588,0.00970086,0.00970086,0.00970086
5,4765.86,3.05906,5.94248,0.45459,0.57275,0.15575,0.16238,0.0948,3.76807,6.09266,0.49549,0.00960115,0.00960115,0.00960115
6,5740.98,3.03067,5.74129,0.45438,0.43449,0.25237,0.17868,0.10907,3.62011,5.79161,0.47221,0.00950144,0.00950144,0.00950144
7,6651.03,2.98251,5.4411,0.44865,0.36253,0.24277,0.20016,0.12524,3.67194,5.99482,0.47475,0.00940173,0.00940173,0.00940173
8,7557.46,2.97635,5.42436,0.4459,0.54075,0.21108,0.2074,0.12373,3.73433,5.57182,0.47738,0.00930202,0.00930202,0.00930202
9,8460.83,2.90639,5.09231,0.44141,0.53221,0.21868,0.20963,0.1246,3.71946,5.74508,0.4806,0.0092023,0.0092023,0.0092023
10,9364.94,2.89837,5.01149,0.44069,0.43983,0.27932,0.22251,0.13448,3.67831,5.6366,0.4704,0.00910259,0.00910259,0.00910259
11,10273,2.87613,4.89604,0.43935,0.56506,0.22561,0.23467,0.14285,3.6604,5.23638,0.4761,0.00900288,0.00900288,0.00900288
12,11177.3,2.87134,4.76487,0.43752,0.46413,0.24159,0.22918,0.14246,3.67713,5.44928,0.48491,0.00890317,0.00890317,0.00890317
13,12087.7,2.80904,4.61003,0.43357,0.5758,0.25209,0.24748,0.14642,3.67867,5.25441,0.48598,0.00880346,0.00880346,0.00880346
14,12994.3,2.77952,4.4625,0.43141,0.51598,0.24073,0.23034,0.13608,3.6679,5.39698,0.48414,0.00870374,0.00870374,0.00870374
15,13900.3,2.79363,4.46413,0.43144,0.54415,0.23318,0.26875,0.16404,3.63503,4.72401,0.48537,0.00860403,0.00860403,0.00860403
16,14808.4,2.76304,4.32579,0.43078,0.62862,0.22562,0.2529,0.15105,3.70525,5.20604,0.48347,0.00850432,0.00850432,0.00850432
17,15718.3,2.7295,4.23354,0.42704,0.52501,0.2583,0.26738,0.16063,3.6117,4.93465,0.47383,0.00840461,0.00840461,0.00840461
18,16622.9,2.7187,4.10369,0.42586,0.53471,0.24115,0.24937,0.15087,3.68483,4.84365,0.47898,0.0083049,0.0083049,0.0083049
19,17523.2,2.68712,4.01043,0.42278,0.56366,0.23311,0.26262,0.16025,3.70221,4.96919,0.48399,0.00820518,0.00820518,0.00820518
20,18431.5,2.67746,3.93258,0.42199,0.63318,0.20734,0.24999,0.15272,3.66308,5.63678,0.48556,0.00810547,0.00810547,0.00810547
