epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,928.087,3.28698,12.7177,0.61182,0.3144,0.10938,0.06933,0.04722,3.27969,7.9646,0.57074,0.00813076,0.00813076,0.00813076
2,1854.22,3.34313,10.7065,0.61603,0.40034,0.18395,0.11282,0.07685,3.0737,7.28663,0.55194,0.00996676,0.00996676,0.00996676
3,2712.11,3.25071,9.21292,0.6053,0.39699,0.25933,0.15872,0.10236,2.93579,6.83069,0.5307,0.00993353,0.00993353,0.00993353
4,3556.78,3.19794,8.13438,0.59192,0.22645,0.30709,0.17025,0.11201,2.95219,6.49233,0.52226,0.00990029,0.00990029,0.00990029
5,4376.07,3.16616,7.44438,0.58623,0.52667,0.23414,0.22758,0.14072,2.87873,5.97744,0.52697,0.00986705,0.00986705,0.00986705
6,5211.28,3.10001,6.86322,0.57859,0.44119,0.31415,0.20405,0.13046,2.92653,6.54551,0.52311,0.00983381,0.00983381,0.00983381
7,6129.58,3.08546,6.48987,0.57314,0.42058,0.29941,0.23317,0.14304,2.84971,5.90405,0.51712,0.00980058,0.00980058,0.00980058
8,7092.05,3.08621,6.18563,0.57181,0.29393,0.33067,0.21572,0.13457,2.83376,5.97421,0.51293,0.00976734,0.00976734,0.00976734
9,7977.58,3.05523,5.96079,0.56954,0.49472,0.3057,0.26113,0.16628,2.73159,5.89951,0.49616,0.0097341,0.0097341,0.0097341
10,8795.64,3.01298,5.73295,0.56453,0.40982,0.38706,0.29805,0.19234,2.74599,5.13054,0.49581,0.00970086,0.00970086,0.00970086
11,9614.35,2.99808,5.56065,0.5588,0.39123,0.30249,0.25663,0.16268,2.77014,5.701,0.5035,0.00966763,0.00966763,0.00966763
12,10391.2,2.98993,5.44802,0.55818,0.4562,0.32371,0.28024,0.18372,2.69353,5.62391,0.48977,0.00963439,0.00963439,0.00963439
13,11169,2.97647,5.24416,0.55504,0.37755,0.40877,0.29895,0.18853,2.74469,5.41675,0.49427,0.00960115,0.00960115,0.00960115
14,11944.2,2.94289,5.17943,0.55154,0.43477,0.33481,0.32053,0.19918,2.74154,5.18683,0.49272,0.00956791,0.00956791,0.00956791
15,12717.6,2.93362,5.01809,0.54927,0.36723,0.38449,0.32444,0.20189,2.69617,5.06344,0.4891,0.00953468,0.00953468,0.00953468
16,13490.3,2.90695,4.91728,0.54468,0.36788,0.35054,0.33092,0.20558,2.68953,5.22582,0.48487,0.00950144,0.00950144,0.00950144
17,14264.2,2.90456,4.84236,0.54521,0.42533,0.36912,0.3331,0.20729,2.70611,5.08077,0.49028,0.0094682,0.0094682,0.0094682
18,15035.4,2.87248,4.74579,0.54456,0.33206,0.41128,0.33679,0.21646,2.70511,4.94742,0.48862,0.00943497,0.00943497,0.00943497
19,15805.6,2.88629,4.70405,0.54578,0.49324,0.3887,0.347,0.22915,2.5974,5.03038,0.47895,0.00940173,0.00940173,0.00940173
20,16576.7,2.8433,4.6126,0.54019,0.36376,0.38804,0.34286,0.22421,2.66254,5.19738,0.48146,0.00936849,0.00936849,0.00936849
21,17347.4,2.84887,4.52457,0.53827,0.4905,0.36328,0.35506,0.22893,2.64655,4.6913,0.48018,0.00933525,0.00933525,0.00933525
22,18117.5,2.86068,4.46043,0.538,0.31563,0.43175,0.35271,0.2244,2.5911,4.78286,0.47229,0.00930202,0.00930202,0.00930202
23,18887.2,2.85581,4.42529,0.53754,0.3856,0.38683,0.3576,0.22942,2.63975,4.90791,0.48179,0.00926878,0.00926878,0.00926878
24,19658.1,2.82713,4.35017,0.53361,0.38301,0.35958,0.35624,0.22636,2.60354,4.87849,0.47502,0.00923554,0.00923554,0.00923554
25,20425.1,2.78786,4.27929,0.53049,0.41644,0.40388,0.39474,0.25291,2.58942,4.63316,0.46991,0.0092023,0.0092023,0.0092023
26,21191.7,2.79249,4.25218,0.53223,0.37478,0.43284,0.36683,0.23618,2.57279,4.98793,0.47449,0.00916907,0.00916907,0.00916907
27,21962.1,2.80841,4.2085,0.53001,0.34902,0.42302,0.37084,0.23585,2.61066,4.72724,0.47279,0.00913583,0.00913583,0.00913583
28,22728.7,2.78136,4.13576,0.52977,0.39494,0.40531,0.37434,0.24282,2.63155,4.8144,0.47511,0.00910259,0.00910259,0.00910259
29,23494.9,2.73903,4.05562,0.52538,0.39654,0.37425,0.38537,0.2448,2.61926,4.96142,0.47183,0.00906935,0.00906935,0.00906935
30,24259.6,2.74193,4.00878,0.52467,0.44043,0.41755,0.39527,0.25098,2.62051,4.78032,0.4718,0.00903612,0.00903612,0.00903612
