epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.343,3.8387,12.0329,0.48541,0.84616,0.04487,0.0293,0.01601,4.1417,12.4832,0.45105,0.00811321,0.00811321,0.00811321
2,535.142,4.02632,8.61791,0.50902,0.80935,0.05374,0.05726,0.03706,4.18628,10.0622,0.4733,0.00990029,0.00990029,0.00990029
3,759.986,3.85447,7.38783,0.50022,0.71318,0.07037,0.06116,0.03842,3.97912,8.96336,0.466,0.00980058,0.00980058,0.00980058
4,1716.69,3.7701,6.96889,0.49657,0.81092,0.0885,0.08006,0.0501,3.93534,7.16598,0.46908,0.00970086,0.00970086,0.00970086
5,1950.92,3.72547,6.55905,0.49085,0.75967,0.10742,0.09969,0.06211,3.89182,6.55692,0.4768,0.00960115,0.00960115,0.00960115
6,2189.9,3.63757,6.3674,0.48337,0.49701,0.17028,0.08732,0.04961,3.97173,7.01639,0.48355,0.00950144,0.00950144,0.00950144
7,2397.92,3.60334,6.17045,0.47846,0.45225,0.1655,0.10944,0.06755,3.9047,7.18864,0.46717,0.00940173,0.00940173,0.00940173
8,2609.14,3.56169,6.06628,0.47565,0.49318,0.17099,0.12509,0.07369,3.87548,6.7374,0.46198,0.00930202,0.00930202,0.00930202
9,2846.6,3.52997,5.90071,0.47038,0.5415,0.12729,0.11209,0.06847,3.85677,6.13943,0.4613,0.0092023,0.0092023,0.0092023
10,3079.18,3.52189,5.77123,0.46989,0.46988,0.15889,0.10873,0.06516,3.84273,6.40596,0.46164,0.00910259,0.00910259,0.00910259
11,3294.6,3.47526,5.81609,0.46884,0.47366,0.15805,0.12688,0.07593,3.80672,5.97517,0.45997,0.00900288,0.00900288,0.00900288
12,3540.01,3.46235,5.71565,0.46273,0.55208,0.14375,0.12235,0.0768,3.82378,6.35996,0.46266,0.00890317,0.00890317,0.00890317
13,3770.16,3.44214,5.54175,0.46046,0.55082,0.14783,0.14099,0.08752,3.8692,5.93206,0.46675,0.00880346,0.00880346,0.00880346
14,3983.56,3.43155,5.44828,0.45794,0.42533,0.16871,0.12678,0.07659,3.81421,7.2342,0.46259,0.00870374,0.00870374,0.00870374
15,4476.7,3.43559,5.37675,0.45766,0.52046,0.20491,0.1553,0.09728,3.85405,5.3713,0.46125,0.00860403,0.00860403,0.00860403
16,4701.03,3.41126,5.26324,0.45439,0.45543,0.20282,0.15813,0.09608,3.88705,5.6611,0.46788,0.00850432,0.00850432,0.00850432
17,4922.36,3.36313,5.23571,0.45248,0.52315,0.19102,0.15156,0.09242,3.85693,5.60512,0.46435,0.00840461,0.00840461,0.00840461
18,5131.07,3.36577,5.16078,0.45111,0.59996,0.17809,0.17321,0.10289,3.88344,5.57247,0.46911,0.0083049,0.0083049,0.0083049
19,5343.49,3.33535,5.09884,0.44929,0.55728,0.13884,0.16197,0.09827,3.86736,5.2816,0.46155,0.00820518,0.00820518,0.00820518
20,5568.81,3.33921,5.01948,0.45055,0.64138,0.15266,0.18153,0.10904,3.88539,5.30523,0.46304,0.00810547,0.00810547,0.00810547
21,5783.15,3.33774,4.95602,0.44892,0.62137,0.17611,0.17679,0.10463,3.86667,5.44774,0.46472,0.00800576,0.00800576,0.00800576
22,5994.37,3.33663,4.91474,0.44805,0.42015,0.19604,0.18481,0.11546,3.81992,5.71899,0.4584,0.00790605,0.00790605,0.00790605
23,6207.36,3.30688,4.8301,0.44635,0.6832,0.16472,0.1936,0.11838,3.84922,5.46446,0.46141,0.00780634,0.00780634,0.00780634
24,6431.82,3.30776,4.79389,0.44545,0.62079,0.17303,0.18723,0.11557,3.83424,5.24696,0.46137,0.00770662,0.00770662,0.00770662
25,6672.68,3.29189,4.73544,0.4441,0.53296,0.15296,0.18565,0.11642,3.843,5.66399,0.46268,0.00760691,0.00760691,0.00760691
26,6913.24,3.28369,4.71094,0.4438,0.53631,0.18242,0.18704,0.11092,3.85151,5.28781,0.4619,0.0075072,0.0075072,0.0075072
27,7332.58,3.26252,4.61848,0.44121,0.46663,0.18742,0.17047,0.10276,3.81866,5.18826,0.45687,0.00740749,0.00740749,0.00740749
28,7551.24,3.26545,4.60686,0.4411,0.45489,0.18539,0.18403,0.11291,3.84288,5.31638,0.46502,0.00730778,0.00730778,0.00730778
