epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2798.44,1.0795,2.19095,1.25736,0.25251,0.40005,0.26653,0.21579,0.79614,2.39042,1.05406,0.0033253,0.0033253,0.0033253
2,5629.68,1.12078,1.79041,1.2362,0.24133,0.31629,0.20514,0.1558,0.95289,2.2557,1.18177,0.00659271,0.00659271,0.00659271
3,13177,1.2298,1.98098,1.3095,0.19482,0.32736,0.20094,0.14317,1.08829,2.48155,1.28881,0.00979413,0.00979413,0.00979413
4,15565.1,1.30474,2.10503,1.37243,0.32333,0.26765,0.17436,0.12912,1.06352,2.92027,1.27986,0.009703,0.009703,0.009703
5,18315.7,1.29647,2.07409,1.36364,0.24028,0.27234,0.19299,0.1411,1.04448,2.27331,1.26991,0.009604,0.009604,0.009604
6,30673.6,1.27389,1.99803,1.34526,0.25076,0.34409,0.24618,0.18924,1.05214,2.23928,1.28161,0.009505,0.009505,0.009505
